price	year	mileage	auto
250	2010	67	MT
365	2013	59	MT
365	2013	59	MT
250	2009	95	MT
310	2011	76.5	MT
125	2007	203	MT
150	2006	146	MT
225	2008	83	MT
269	2013	71	MT
250	2010	175	MT
410	2014	21	MT
219	2008	140	MT
165	2006	146	MT
250	2011	93	MT
250	2009	75	MT
159	2006	187	MT
495	2015	52	AT
180	2006	155	MT
145	2013	35	MT
217	2008	78	MT
275	2010	98	MT
170	2006	100	MT
169	2009	87	MT
335	2013	63	MT
235	2011	64	MT
150	2006	150	MT
240	2010	83	MT
145	2007	138	MT
140	2011	65	MT
215	2008	74	MT
190	2008	65	MT
277	2011	51	MT
175	2006	110	MT
249	2012	113	MT
419	2014	16	MT
289	2014	37	MT
215	2008	74	MT
190	2008	65	MT
277	2011	51	MT
175	2006	110	MT
399	2011	58	AT
350	2011	70	AT
365	2012	14	AT
379	2012	55	AT
