School,School_Type,SAT,Acceptance,$/Student,Top10%,%PhD,Grad%
Amherst,LibArts,1315,22,26636,85,81,93
Swarthmore,LibArts,1310,24,27487,78,93,88
Williams,LibArts,1336,28,23772,86,90,93
Bowdoin,LibArts,1300,24,25703,78,95,90
Wellesley,LibArts,1250,49,27879,76,91,86
Pomona,LibArts,1320,33,26668,79,98,80
Wesleyan(CT),LibArts,1290,35,19948,73,87,91
Middlebury,LibArts,1255,25,24718,65,89,92
Smith,LibArts,1195,57,25271,65,90,87
Davidson,LibArts,1230,36,17721,77,94,89
Vassar,LibArts,1287,43,20179,53,90,84
Carleton,LibArts,1300,40,19504,75,82,80
ClaremontMcKenna,LibArts,1260,36,20377,68,94,74
Oberlin,LibArts,1247,54,23591,64,98,77
Washington&Lee,LibArts,1234,29,17998,61,89,78
Grinnell,LibArts,1244,67,22301,65,79,73
MountHolyoke,LibArts,1200,61,23358,47,83,83
Colby,LibArts,1200,46,18872,52,75,84
Hamilton,LibArts,1215,38,20722,51,86,85
Bates,LibArts,1240,36,17554,58,81,88
Haverford,LibArts,1285,35,19418,71,91,87
Colgate,LibArts,1258,38,17520,61,78,85
BrynMawr,LibArts,1255,56,18847,70,81,84
Occidental,LibArts,1170,49,20192,54,93,72
Barnard,LibArts,1220,53,17653,69,98,80
Harvard,Univ,1370,18,46918,90,99,90
Stanford,Univ,1370,18,61921,92,96,88
Yale,Univ,1350,19,52468,90,97,93
Princeton,Univ,1340,17,48123,89,99,93
CalTech,Univ,1400,31,102262,98,98,75
MIT,Univ,1357,30,56766,95,98,86
Duke,Univ,1310,25,39504,91,95,91
Dartmouth,Univ,1306,25,35804,86,100,95
Cornell,Univ,1280,30,37137,85,90,83
Columbia,Univ,1268,29,45879,78,93,90
UofChicago,Univ,1300,45,38937,74,100,73
Brown,Univ,1281,24,24201,80,98,90
UPenn,Univ,1280,41,30882,87,99,86
Berkeley,Univ,1176,37,23665,95,93,68
JohnsHopkins,Univ,1290,48,45460,69,58,86
Rice,Univ,1327,24,26730,85,95,88
UCLA,Univ,1142,43,26859,96,100,61
UVa.,Univ,1218,37,19365,77,91,88
Georgetown,Univ,1278,24,23115,79,89,89
UNC,Univ,1109,32,19684,82,84,73
UMichican,Univ,1195,60,21853,71,93,77
CarnegieMellon,Univ,1225,64,33607,52,84,77
Northwestern,Univ,1230,47,28851,77,79,82
WashingtonU(MO),Univ,1225,54,39883,71,98,76
UofRochester,Univ,1155,56,38597,52,96,73
